,y,x
149477053,29.3200465,-98.5182721
149477054,29.3197345,-98.5225588
149477057,29.320383,-98.54693
149477059,29.32018,-98.5490033
149477229,29.3982823,-98.5117775
149477263,29.3957606,-98.5077908
149478367,29.3896557,-98.5439011
149478378,29.3880248,-98.5466614
149478388,29.4038793,-98.618825
149478402,29.411476,-98.508343
149478641,29.308684,-98.659362
149479342,29.21523,-98.603045
149479348,29.2802495,-98.6669233
149479359,29.2797574,-98.6672055
149480084,29.3133308,-98.6125642
149480153,29.401769,-98.5553606
149480155,29.4018168,-98.5558149
149480263,29.2477485,-98.7388614
149480279,29.250852,-98.74232
149480304,29.4069271,-98.574785
149480321,29.4069815,-98.5754308
149480943,29.3707839,-98.5168749
149480955,29.3693649,-98.5180831
149481042,29.4064103,-98.649584
149481056,29.320261,-98.5197543
149481060,29.320469,-98.522542
149481082,29.396701,-98.653053
149481299,29.3101914,-98.6152065
149481300,29.3120969,-98.61362
149481912,29.4073224,-98.5570062
149482899,29.2193714,-98.6614393
149482952,29.358924,-98.512572
149483162,29.377206,-98.639677
149483163,29.3791141,-98.6403852
149483269,29.225404,-98.663773
149483302,29.3500179,-98.5356827
149483417,29.307506,-98.654677
149484556,29.252726,-98.719701
149484559,29.253732,-98.715471
149484564,29.2541596,-98.7196881
149484568,29.2541468,-98.7189428
149484700,29.389648,-98.511523
149484707,29.3908431,-98.511897
149484749,29.2362505,-98.627681
149484808,29.4059167,-98.5700415
149484815,29.4060398,-98.5744249
149484817,29.4060892,-98.5749098
149484848,29.4061584,-98.5755269
149485044,29.3968568,-98.519203
149485045,29.396839,-98.5223059
149485162,29.228791,-98.563502
149485358,29.3167866,-98.6091629
149485395,29.3199537,-98.550537
149485401,29.339703,-98.561418
149485883,29.404073,-98.549047
149485965,29.2563937,-98.4722511
149486212,29.266492,-98.696813
149486221,29.267601,-98.693478
149486227,29.267506,-98.692991
149486229,29.406882,-98.480665
149486233,29.409157,-98.479814
149488108,29.3208282,-98.6039794
149488109,29.3221455,-98.602908
149488306,29.3261326,-98.5933154
149488308,29.3267243,-98.5913184
149488310,29.3155535,-98.5971299
149488312,29.3152939,-98.5943355
149488593,29.2734191,-98.5775813
149488604,29.374876,-98.736594
149488655,29.3277982,-98.703769
149488659,29.331224,-98.703766
149488661,29.331926,-98.703767
149488671,29.333069,-98.702823
149488772,29.341715,-98.631688
149488774,29.3421436,-98.6303635
149488775,29.3425378,-98.6290531
149488783,29.3425528,-98.6288142
149488796,29.3424446,-98.6280779
149488842,29.342884,-98.6915266
149489050,29.249034,-98.719748
149489052,29.249033,-98.717192
149489057,29.24777,-98.719764
149489059,29.247765,-98.717324
149489119,29.3220267,-98.4819996
149489121,29.3222063,-98.4806521
149489147,29.3162708,-98.6086465
149489150,29.2794736,-98.6669141
149489162,29.2197972,-98.4735543
149489190,29.2203332,-98.4758435
149489192,29.2203897,-98.476893
149489194,29.2203883,-98.4773215
149489196,29.2203875,-98.4775667
149489198,29.2203825,-98.4780246
149489210,29.2201372,-98.4813944
149489412,29.3702945,-98.6360628
149489430,29.370717,-98.6373447
149489955,29.218103,-98.619327
149490456,29.220685,-98.622824
149490469,29.2265685,-98.6223928
149491204,29.3922361,-98.6473756
149491205,29.3935923,-98.6483877
149491208,29.256447,-98.719626
149491209,29.256499,-98.71405
149491213,29.25499,-98.713783
149492106,29.3613688,-98.6360086
149492122,29.309873,-98.646539
149492124,29.309047,-98.646684
149492724,29.267323,-98.719572
149492725,29.267313,-98.720085
149492752,29.38059,-98.512466
149493009,29.3357604,-98.5698736
149493010,29.336454,-98.567564
149493042,29.2484452,-98.7197696
149493044,29.248434,-98.7214913
149493194,29.3765241,-98.7267192
149494074,29.38016,-98.559567
149494196,29.3436893,-98.480878
149494337,29.4022061,-98.5119032
149494558,29.3976303,-98.6498751
149494595,29.3973161,-98.6502655
149494600,29.405908,-98.480916
149494609,29.4029021,-98.4810869
149494884,29.227756,-98.559992
149495611,29.3393846,-98.560455
149495747,29.215792,-98.531679
149496007,29.285144,-98.653504
149496019,29.28614,-98.651325
149496062,29.2847916,-98.6536385
149496075,29.285597,-98.651057
149496083,29.285499,-98.65061
149496165,29.4018952,-98.6287864
149496347,29.2161781,-98.6998116
149496353,29.214258,-98.698498
149496355,29.216166,-98.698512
149496361,29.211183,-98.688441
149496879,29.191475,-98.589542
149497246,29.3843264,-98.6911954
149497254,29.4003322,-98.6493155
149497268,29.3984093,-98.6482041
149497271,29.3983133,-98.6467688
149497371,29.2589,-98.58401
149497655,29.2187026,-98.7053322
149497659,29.2232615,-98.7054012
149497664,29.222753,-98.706443
149497940,29.39152,-98.6655887
149497951,29.3929439,-98.6626034
